otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Green Bay Resort & Spa,It was a spotlessly clean hotel 😌,9.5,"Posted June 14, 2026",Türkiye (Turkey),Stayed in June 2026,1 Review,Gold,Solo traveler,Standard Quadruple Room
Green Bay Resort & Spa,"Her shey chok guzeldi,bir tek odada karincalarin olmasi rahatsiz etdi,bir de alakart restoranlari kullanamdik,onunla ilgilenen bayan hich yerinde tutamadik,sicak havada cocukla da bizim binadan ana binaya gunde 3-4 kes gidemezdjm yerinde bula bilmek ichin,sonunda yerinde buldugum zamanda bish yerlerinin olmadigi soylendi,musaitlikleri biz cikish yaptigimiz gunmush ,bence oradaki elemaninizi degishtirib zamaninda yerinde olup dogru hizmet gostere bilen birini koyun",10.0,"Posted November 20, 2024",Azerbaijan,Stayed in August 2024,9 Reviews,Diamond,Family,
Green Bay Resort & Spa,Hotel is fully in the forest so it’s far away from civilisation.,9.5,"Posted October 1, 2024",United Kingdom,Stayed in September 2024,1 Review,Platinum,Couple,
Green Bay Resort & Spa,"At first I was disappointed by the simplicity and old renovation of the room. But it paid off with delicious food, the beauty of the surrounding nature and the incredible sea!!! Everything corresponds to the price. Thank you for a wonderful vacation!",10.0,"Posted September 14, 2025",Russia,Stayed in September 2025,11 Reviews,Platinum,Solo traveler,
Green Bay Resort & Spa,"A very nice hotel for families. Those working in water sports activities have formed a team with photographers. They are wonderful, very friendly. Thank you so much for everything",10.0,"Posted August 1, 2026",,Stayed in August 2026,,,,
Green Bay Resort & Spa,"We stayed for 8 days at the 5-star Crystal Green Bay Resort. In terms of the building and interior, it didn’t quite live up to a true 5-star standard—it felt more like a 3.5-star resort. The sunbeds are very basic and don’t have cushions, and the furniture both indoors and in the restaurant is somewhat outdated. The toilet didn’t flush properly, and although the rooms have clearly been renovated, it looks like it was done rather hastily and without much attention to detail. The music from the speakers is quite distorted, and they definitely need replacing. In the evenings, the lighting is too bright, and there isn’t much in terms of proper entertainment or shows. At dinner time, especially right when the restaurant opens, you often have to deal with long queues. That said, there are also many positives. The staff are incredibly friendly and helpful—we truly felt very welcome throughout our stay. The cocktails are excellent and generously poured, with more than enough alcohol. There are bars conveniently located everywhere, whether you’re at the beach or by the pool, and you can grab as many bottles of water as you like from the coolers at each bar. Food is available throughout the entire day, with something open at all times, and there are always ice creams available as well. The food is delicious with plenty of variety, though it can sometimes be a bit cold. A nice touch is that you’re allowed to take your food back to your room or enjoy it on the beach. The resort is beautifully located in a bay, which means the sea is calm and perfect for swimming. There are also plenty of sunbeds available, so there’s no need to reserve them early with towels. If you like animals, you’ll enjoy the many cats walking around during mealtimes—they’re very sweet and not intrusive at all. The resort is suitable for adults, with or without children, as well as younger guests who enjoy a lively atmosphere. We paid €600 for 8 days all-inclusive, including flights, transfer, and insurance, and it was absolutely worth every penny. We had a fantastic time. Thank you to everyone at Crystal Green Bay!",8.0,"Posted May 22, 2026",,Stayed in May 2026,,,,
Green Bay Resort & Spa,Lovely hotel and amazing staff. It’s in a beautiful location. The food and drinks are nice as well.,10.0,"Posted May 23, 2026",,Stayed in May 2026,,,,
Green Bay Resort & Spa,"We stayed at your hotel with a friend for a week, and we can confidently say that we had a very positive experience. The hotel is located in an absolutely beautiful spot! The room was clean, the food selection was delicious and varied. The evening shows were entertaining, though we would have loved to dance a bit longer. We give 10 out of 10 points to the 4.8feet boys! Fantastic welcome and super tasty cocktails! ❤️ We believe we’ll meet again!",8.0,"Posted September 27, 2025",,Stayed in September 2025,,,Traveling with friends,
Green Bay Resort & Spa,"Beautiful location, unbelievable place, funny aquapark ... And... The best bar team in 4.8 bar!! Thank you for all my dear friends!",10.0,"Posted September 18, 2025",,Stayed in September 2025,,,Couple,
Green Bay Resort & Spa,"We absolutely loved our stay here. I think people need to manage their expectations, especially with regards to how good this place is for the money that you pay! We stayed for 3 nights and really couldn't complain. The rooms were clean and bright anf the air-conditioning was great. The buffet had so many choices of fresh food! The beach was lovely, yes the water is a little cloudy as it's a bay where boats park up but the water is so calm and would be great for kids. The staff were all great, grounds are immaculate and pools and slides are great fun. The boat trip arranged by Shaggy is lovely and the Captain is such a laugh. Such a good deal for £30 each, picks you up from the bay and includes lunch, turkish tea and turkish coffee. There are cats and kittens around but if you're an animal lover you'll love this. If not just ignore them and they will soon move onto someone else who wants to feed them. They are all really friendly. All in all I would definitely return and wouldn't hesitate to recommend it to anyone.",10.0,"Posted September 11, 2025",,Stayed in September 2025,,,Traveling with friends,
